"filename", "language", "Ignore", "JSON", "JavaScript", "Docker", "comment", "blank", "total"
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\.dockerignore", "Ignore", 5, 0, 0, 0, 0, 0, 5
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\Dockerfile", "Docker", 0, 0, 0, 6, 0, 4, 10
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\app.js", "JavaScript", 0, 0, 70, 0, 0, 9, 79
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\additionals.controller.js", "JavaScript", 0, 0, 225, 0, 15, 12, 252
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\booking.controller.js", "JavaScript", 0, 0, 82, 0, 0, 9, 91
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\deal.controller.js", "JavaScript", 0, 0, 82, 0, 0, 4, 86
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\hotelSettings.controller.js", "JavaScript", 0, 0, 32, 0, 0, 3, 35
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\querys.controller.js", "JavaScript", 0, 0, 132, 0, 5, 12, 149
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\rate.controller.js", "JavaScript", 0, 0, 49, 0, 0, 3, 52
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\repairRoom.controller.js", "JavaScript", 0, 0, 71, 0, 0, 4, 75
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\room.controller.js", "JavaScript", 0, 0, 57, 0, 0, 4, 61
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\roomService.controller.js", "JavaScript", 0, 0, 33, 0, 0, 4, 37
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\controller\user.controller.js", "JavaScript", 0, 0, 50, 0, 0, 4, 54
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\db.js", "JavaScript", 0, 0, 18, 0, 0, 11, 29
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\exceptions\api-error.js", "JavaScript", 0, 0, 19, 0, 0, 5, 24
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\middleware\error.middleware.js", "JavaScript", 0, 0, 8, 0, 0, 0, 8
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\package-lock.json", "JSON", 0, 1827, 0, 0, 0, 1, 1828
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\package.json", "JSON", 0, 27, 0, 0, 0, 1, 28
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\additionals.routes.js", "JavaScript", 0, 0, 59, 0, 0, 10, 69
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\booking.routes.js", "JavaScript", 0, 0, 11, 0, 0, 4, 15
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\deal.routes.js", "JavaScript", 0, 0, 9, 0, 0, 4, 13
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\hotelSettigs.routes.js", "JavaScript", 0, 0, 18, 0, 0, 3, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\querys.routes.js", "JavaScript", 0, 0, 15, 0, 0, 6, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\rate.routes.js", "JavaScript", 0, 0, 10, 0, 0, 4, 14
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\room.routes.js", "JavaScript", 0, 0, 10, 0, 0, 4, 14
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\roomRepair.routes.js", "JavaScript", 0, 0, 33, 0, 0, 4, 37
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\roomService.routes.js", "JavaScript", 0, 0, 17, 0, 0, 4, 21
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\routes\user.routes.js", "JavaScript", 0, 0, 10, 0, 0, 4, 14
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\additionals.service.js", "JavaScript", 0, 0, 197, 0, 21, 12, 230
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\booking.service.js", "JavaScript", 0, 0, 157, 0, 5, 10, 172
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\deal.service.js", "JavaScript", 0, 0, 93, 0, 0, 6, 99
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\hotelSettings.service.js", "JavaScript", 0, 0, 41, 0, 0, 4, 45
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\rate.service.js", "JavaScript", 0, 0, 52, 0, 0, 4, 56
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\repairRoom.service.js", "JavaScript", 0, 0, 119, 0, 27, 3, 149
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\room.service.js", "JavaScript", 0, 0, 69, 0, 1, 7, 77
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\roomService.service.js", "JavaScript", 0, 0, 39, 0, 0, 3, 42
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-server\service\user.service.js", "JavaScript", 0, 0, 59, 0, 0, 3, 62
"Total", "-", 5, 1854, 1946, 6, 74, 189, 4074